Alpheratz , HIP677,उत्तराभाद्रप  ,2.1038303334959125,29.091715612226807
Altair , HIP97649,श्रवण,297.7009096921763,8.873867657847452
Hamal , HIP9884,मेष,31.79974502211405,23.463272555283968
Capella , HIP24608,ब्रह्महृदय,79.17657652109247,45.99313317651788
Arcturus , HIP69673,स्वातिः,213.90335551870922,19.170621029676216
Sirius , HIP32349,व्याध,101.28299062020511,-16.720910726681165
Castor , HIP36850,पुनर्वसु 0,113.64677648722095,31.886188040318114
Pollux , HIP37826,पुनर्वसु,116.32275627667087,28.024670190713326
Regulus , HIP49669,मघा,152.08713362322018,11.969032945306596
Vega , HIP91262,अभिजित,279.23518064601654,38.79095362756461
Betelgeuse , HIP27989,आर्द्रा,88.79435877030063,7.408682825546468
Ashwini , HIP8832,अश्विनी  ,28.38833472152254,19.295105861265277
Bharani , HIP12719,भरणी ,40.86823200232861,27.707886380483725
Kruttika , HIP17499,कृत्तिका ,56.22309913909329,24.113657705419822
Rohini , HIP21421,रोहिणी ,68.98358511709326,16.508884756138954
Mrugshirsha , HIP26176,मृगः ,83.70683607203216,9.490933101497696
Adra , HIP27989,आर्द्रा ,88.79435882703159,7.408682822896674
Punarvasu , HIP36850,पुनर्वसु ,113.64677655253807,31.88618802943359
Pushya , HIP41822,पुष्य,127.89607797458045,18.09463652388156
Ashlesha , HIP42313,श्लेषा ,129.41114739119016,5.705490355577377
Magha , HIP49669,मघा ,152.08713365865603,11.969032931913041
PurvFalguna , HIP54872,पूर्वाफाल्गुन,168.52270480963443,20.524579566032433
UttarFalguna , HIP57632,उत्तराफाल्गुनी ,177.25628905166576,14.573052349826176
Hasta , HIP59199,हस्त,182.09820123888278,-24.72663603023659
Chitra , HIP65474,चित्रा ,201.29269259494615,-11.159548496482229
Swati , HIP69673,स्वाती ,213.90335549354603,19.170621008764204
Vishakha , HIP72622,विशाखा ,222.71421520773328,-16.04083728172789
Anuradha , HIP78265,अनुराघा ,239.70900466982485,-26.113941628017336
Jeshtha , HIP80112,ज्येष्ठा ,245.29361490051588,-25.592737872175324
Mula , HIP82396,मूलं ,252.53321504212553,-34.296756503988746
Purvashadha , HIP89931,पूर्वाषाढा ,275.2479866397671,-29.828965843491808
Uttarashadha , HIP92855,त्तराषाढा ,283.81661737559523,-26.29744890437998
Shravan , HIP98036,Test,298.83007536709556,6.406331443867047
Dhanishtha , HIP101958 ,घनिष्ठा ,309.9125612211237,15.915351492632476
Shatataraka , HIP110395,शततार,335.41890796748964,-1.385300719310679
PurvBhadrapada , HIP113881,पूर्वाभाद्रपद,345.9502053078285,28.086844433722227
UttarBhadrapada , HIP677,उत्तराभाद्रप,2.1038303252147976,29.091715636302702
Revati , HIP5737,रेवत्,18.43908770894042,7.576992285994158